Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
615cc847-edea-43fa-873f-2fad2e9f0c8e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,9,9,84.57606422540384,50,25,25,20,0,5,20,2,9,5,9,11,14,30.529325012980813,48.43204266092217,1.0,48.43204266092217,2.6906690367178983,0.0161440142203073
0284d2e4-407a-4174-9492-0cae0583a64f,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
ac6c761c-e361-4713-8f4c-7b21d1b31a43,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
20b0efdd-d753-48ba-82be-40616a998e05,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
81e388c0-555f-4138-812c-a8f527664f02,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
c9a3c700-a325-4a27-8619-a4c0ae1f774e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
2f62be00-be72-4e38-9031-ef9149a77092,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
c902adad-ea21-4521-8a95-1655be3d52ad,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
9fa90e6e-0e65-4a67-8858-c4853ab13478,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
f9759da4-cf99-4d29-b2b1-f5086bf5424b,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
56caad78-40f0-4753-aada-ab46a580c383,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
571da267-d8de-4c53-bdaa-5adc3fe2e3be,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
dbb10670-ef1d-4d50-b40e-789506a3baff,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,52.40509971962356,32,29,29,0,0,3,0,2,15,8,16,17,24,60.60335893412778,98.09910819000817,1.0666666666666669,104.6390487360087,5.8132804853338165,0.0326997027300027
edbb401d-dc95-4444-8428-34997b2191d1,meta-llama-3.1-70b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,14,74.84513238333652,69,47,47,11,0,11,11,3,8,5,8,11,13,28.75488750216347,44.97261104228487,1.5,67.4589165634273,3.747717586857072,0.0149908703474282
